timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747127608427,50,GET List USersPage=2/10,200,OK,10 concurrent users 3-1,text,true,,1659,374,1,6,https://reqres.in/api/users?page=2,50,0,35
1747127608478,14,GET List USersPage=2/10,200,OK,10 concurrent users 3-1,text,true,,1661,374,1,9,https://reqres.in/api/users?page=2,14,0,0
1747127608492,13,GET List USersPage=2/10,200,OK,10 concurrent users 3-1,text,true,,1662,374,1,9,https://reqres.in/api/users?page=2,13,0,0
1747127608505,13,GET List USersPage=2/10,200,OK,10 concurrent users 3-1,text,true,,1662,374,1,9,https://reqres.in/api/users?page=2,13,0,0
1747127608481,37,GET List USersPage=2/20,200,OK,20 concurrent users 4-2,text,true,,1659,374,2,9,https://reqres.in/api/users?page=2,37,0,11
1747127608518,10,GET List USersPage=2/10,200,OK,10 concurrent users 3-1,text,true,,1663,374,1,11,https://reqres.in/api/users?page=2,10,0,0
1747127608518,13,GET List USersPage=2/20,200,OK,20 concurrent users 4-2,text,true,,1661,374,2,11,https://reqres.in/api/users?page=2,13,0,0
1747127608531,13,GET List USersPage=2/20,200,OK,20 concurrent users 4-2,text,true,,1662,374,3,14,https://reqres.in/api/users?page=2,13,0,0
1747127608544,15,GET List USersPage=2/20,200,OK,20 concurrent users 4-2,text,true,,1662,374,3,14,https://reqres.in/api/users?page=2,15,0,0
1747127608429,139,GET List USersPage=2/20,200,OK,20 concurrent users 4-1,text,true,,1662,374,3,14,https://reqres.in/api/users?page=2,139,0,82
1747127608559,11,GET List USersPage=2/20,200,OK,20 concurrent users 4-2,text,true,,1663,374,3,14,https://reqres.in/api/users?page=2,11,0,0
1747127608568,52,GET List USersPage=2/20,200,OK,20 concurrent users 4-1,text,true,,1665,374,3,16,https://reqres.in/api/users?page=2,52,0,0
1747127608529,93,GET List USersPage=2/10,200,OK,10 concurrent users 3-2,text,true,,1662,374,1,16,https://reqres.in/api/users?page=2,93,0,54
1747127608532,90,GET List USersPage=2/20,200,OK,20 concurrent users 4-3,text,true,,1662,374,3,16,https://reqres.in/api/users?page=2,90,0,54
1747127608622,35,GET List USersPage=2/10,200,OK,10 concurrent users 3-2,text,true,,1664,374,2,22,https://reqres.in/api/users?page=2,35,0,0
1747127608623,35,GET List USersPage=2/20,200,OK,20 concurrent users 4-3,text,true,,1664,374,4,22,https://reqres.in/api/users?page=2,35,0,0
1747127608628,33,GET List USersPage=2/20,200,OK,20 concurrent users 4-5,text,true,,1659,374,4,22,https://reqres.in/api/users?page=2,33,0,10
1747127608620,41,GET List USersPage=2/20,200,OK,20 concurrent users 4-1,text,true,,1666,374,4,22,https://reqres.in/api/users?page=2,41,0,0
1747127608661,12,GET List USersPage=2/20,200,OK,20 concurrent users 4-5,text,true,,1661,374,4,22,https://reqres.in/api/users?page=2,12,0,0
1747127608673,17,GET List USersPage=2/20,200,OK,20 concurrent users 4-5,text,true,,1662,374,5,25,https://reqres.in/api/users?page=2,17,0,0
1747127608658,36,GET List USersPage=2/20,200,OK,20 concurrent users 4-3,text,true,,1666,374,5,25,https://reqres.in/api/users?page=2,36,0,0
